RNDF_name shoreline_circle_rndf.txt
num_segments 1
num_zones 0
num_intersections 0
format_version  1.1
creation_date 11/09/2009
segment 1
num_lanes 1
num_crosswalks  1
lane  1.1
num_waypoints 219
lane_width  12
1.1.158 37.427206 -122.077044
1.1.159 37.427205 -122.077033
1.1.160 37.427203 -122.077022
1.1.161 37.427202 -122.077011
1.1.162 37.427201 -122.076999
1.1.163 37.427200 -122.076988
1.1.164 37.427199 -122.076977
1.1.165 37.427199 -122.076965
1.1.166 37.427199 -122.076954
1.1.167 37.427199 -122.076943
1.1.168 37.427200 -122.076931
1.1.169 37.427200 -122.076920
1.1.170 37.427201 -122.076909
1.1.171 37.427203 -122.076897
1.1.172 37.427204 -122.076886
1.1.173 37.427206 -122.076875
1.1.174 37.427208 -122.076864
1.1.175 37.427210 -122.076853
1.1.176 37.427213 -122.076842
1.1.177 37.427216 -122.076831
1.1.178 37.427219 -122.076821
1.1.179 37.427222 -122.076810
1.1.180 37.427226 -122.076800
1.1.181 37.427229 -122.076789
1.1.182 37.427233 -122.076779
1.1.183 37.427237 -122.076769
1.1.184 37.427242 -122.076759
1.1.185 37.427247 -122.076750
1.1.186 37.427251 -122.076740
1.1.187 37.427257 -122.076731
1.1.188 37.427262 -122.076721
1.1.189 37.427267 -122.076712
1.1.190 37.427273 -122.076704
1.1.191 37.427279 -122.076695
1.1.192 37.427285 -122.076687
1.1.193 37.427292 -122.076679
1.1.194 37.427298 -122.076671
1.1.195 37.427305 -122.076663
1.1.196 37.427312 -122.076656
1.1.197 37.427319 -122.076648
1.1.198 37.427326 -122.076642
1.1.199 37.427333 -122.076635
1.1.200 37.427341 -122.076629
1.1.201 37.427348 -122.076622
1.1.202 37.427356 -122.076617
1.1.203 37.427364 -122.076611
1.1.204 37.427372 -122.076606
1.1.205 37.427380 -122.076601
1.1.206 37.427388 -122.076596
1.1.207 37.427397 -122.076592
1.1.208 37.427405 -122.076588
1.1.209 37.427414 -122.076584
1.1.210 37.427422 -122.076580
1.1.211 37.427431 -122.076577
1.1.212 37.427440 -122.076574
1.1.213 37.427448 -122.076572
1.1.214 37.427457 -122.076570
1.1.215 37.427466 -122.076568
1.1.216 37.427475 -122.076566
1.1.217 37.427484 -122.076565
1.1.218 37.427493 -122.076564
1.1.219 37.427502 -122.076563
end_lane
end_segment
end_file
